classroom_id,date,day,period,students_present,source
A101,2026-08-02,Mon,1,1.0,wifi_log
A101,2026-08-02,Mon,2,1.0,wifi_log
A101,2026-08-02,Mon,3,17.0,wifi_log
A101,2026-08-02,Mon,4,28.0,wifi_log
A101,2026-08-02,Mon,5,0.0,wifi_log
A101,2026-08-02,Mon,6,9.0,wifi_log
A101,2026-08-02,Mon,7,30.0,qr_checkin
A101,2026-08-02,Mon,8,7.0,wifi_log
A101,2026-08-12,Tue,1,28.0,qr_checkin
A101,2026-08-12,Tue,2,1.0,wifi_log
A101,2026-08-12,Tue,3,2.0,wifi_log
A101,2026-08-12,Tue,4,2.0,wifi_log
A101,2026-08-12,Tue,5,3.0,wifi_log
A101,2026-08-12,Tue,6,1.0,qr_checkin
A101,2026-08-12,Tue,7,17.0,qr_checkin
A101,2026-08-12,Tue,8,30.0,wifi_log
A101,2026-08-17,Wed,1,1.0,wifi_log
A101,2026-08-17,Wed,2,17.0,wifi_log
A101,2026-08-17,Wed,3,13.0,wifi_log
A101,2026-08-17,Wed,4,0.0,qr_checkin
A101,2026-08-17,Wed,5,2.0,qr_checkin
A101,2026-08-17,Wed,6,0.0,qr_checkin
A101,2026-08-17,Wed,7,33.0,wifi_log
A101,2026-08-17,Wed,8,33.0,wifi_log
A101,2026-08-08,Thu,1,25.0,qr_checkin
A101,2026-08-08,Thu,2,17.0,qr_checkin
A101,2026-08-08,Thu,3,2.0,wifi_log
A101,2026-08-08,Thu,4,1.0,qr_checkin
A101,2026-08-08,Thu,5,0.0,qr_checkin
A101,2026-08-08,Thu,6,6.0,wifi_log
A101,2026-08-08,Thu,7,0.0,wifi_log
A101,2026-08-08,Thu,8,9.0,wifi_log
A101,2026-08-05,Fri,1,27.0,wifi_log
A101,2026-08-05,Fri,2,0.0,wifi_log
A101,2026-08-05,Fri,3,31.0,qr_checkin
A101,2026-08-05,Fri,4,2.0,wifi_log
A101,2026-08-05,Fri,5,11.0,wifi_log
A101,2026-08-05,Fri,6,34.0,qr_checkin
A101,2026-08-05,Fri,7,,wifi_log
A101,2026-08-05,Fri,8,12.0,wifi_log
A202,2026-08-02,Mon,1,73.0,qr_checkin
A202,2026-08-02,Mon,2,57.0,wifi_log
A202,2026-08-02,Mon,3,13.0,qr_checkin
A202,2026-08-02,Mon,4,13.0,qr_checkin
A202,2026-08-02,Mon,5,55.0,wifi_log
A202,2026-08-02,Mon,6,53.0,wifi_log
A202,2026-08-02,Mon,7,62.0,wifi_log
A202,2026-08-02,Mon,8,63.0,qr_checkin
A202,2026-08-12,Tue,1,29.0,wifi_log
A202,2026-08-12,Tue,2,,wifi_log
A202,2026-08-12,Tue,3,22.0,wifi_log
A202,2026-08-12,Tue,4,52.0,qr_checkin
A202,2026-08-12,Tue,5,69.0,wifi_log
A202,2026-08-12,Tue,6,27.0,wifi_log
A202,2026-08-12,Tue,7,0.0,wifi_log
A202,2026-08-12,Tue,8,0.0,qr_checkin
A202,2026-08-17,Wed,1,7.0,wifi_log
A202,2026-08-17,Wed,2,64.0,wifi_log
A202,2026-08-17,Wed,3,23.0,qr_checkin
A202,2026-08-17,Wed,4,51.0,wifi_log
A202,2026-08-17,Wed,5,59.0,wifi_log
A202,2026-08-17,Wed,6,75.0,wifi_log
A202,2026-08-17,Wed,7,68.0,wifi_log
A202,2026-08-17,Wed,8,6.0,wifi_log
A202,2026-08-08,Thu,1,57.0,wifi_log
A202,2026-08-08,Thu,2,49.0,wifi_log
A202,2026-08-08,Thu,3,0.0,wifi_log
A202,2026-08-08,Thu,4,64.0,wifi_log
A202,2026-08-08,Thu,5,60.0,wifi_log
A202,2026-08-08,Thu,6,15.0,wifi_log
A202,2026-08-08,Thu,7,57.0,wifi_log
A202,2026-08-08,Thu,8,74.0,qr_checkin
A202,2026-08-05,Fri,1,52.0,wifi_log
A202,2026-08-05,Fri,2,,wifi_log
A202,2026-08-05,Fri,3,0.0,wifi_log
A202,2026-08-05,Fri,4,8.0,qr_checkin
A202,2026-08-05,Fri,5,30.0,wifi_log
