classroom_id,day,period,start_time,end_time,subject,scheduled
A101,Mon,1,08:00,08:50,FREE,False
A101,Mon,2,08:50,09:40,FREE,False
A101,Mon,3,09:50,10:40,FREE,False
A101,Mon,4,10:40,11:30,Probability & Stats,True
A101,Mon,5,11:30,12:20,FREE,False
A101,Mon,6,13:10,14:00,FREE,False
A101,Mon,7,14:00,14:50,Data Structures,True
A101,Mon,8,14:50,15:40,FREE,False
A101,Tue,1,08:00,08:50,Linear Algebra,True
A101,Tue,2,08:50,09:40,FREE,False
A101,Tue,3,09:50,10:40,FREE,False
A101,Tue,4,10:40,11:30,FREE,False
A101,Tue,5,11:30,12:20,FREE,False
A101,Tue,6,13:10,14:00,FREE,False
A101,Tue,7,14:00,14:50,FREE,False
A101,Tue,8,14:50,15:40,Operating Systems,True
A101,Wed,1,08:00,08:50,FREE,False
A101,Wed,2,08:50,09:40,FREE,False
A101,Wed,3,09:50,10:40,FREE,False
A101,Wed,4,10:40,11:30,FREE,False
A101,Wed,5,11:30,12:20,FREE,False
A101,Wed,6,13:10,14:00,FREE,False
A101,Wed,7,14:00,14:50,Operating Systems,True
A101,Wed,8,14:50,15:40,DBMS,True
A101,Thu,1,08:00,08:50,Probability & Stats,True
A101,Thu,2,08:50,09:40,FREE,False
A101,Thu,3,09:50,10:40,FREE,False
A101,Thu,4,10:40,11:30,FREE,False
A101,Thu,5,11:30,12:20,FREE,False
A101,Thu,6,13:10,14:00,FREE,False
A101,Thu,7,14:00,14:50,FREE,False
A101,Thu,8,14:50,15:40,FREE,False
A101,Fri,1,08:00,08:50,Economics,True
A101,Fri,2,08:50,09:40,FREE,False
A101,Fri,3,09:50,10:40,Probability & Stats,True
A101,Fri,4,10:40,11:30,FREE,False
A101,Fri,5,11:30,12:20,FREE,False
A101,Fri,6,13:10,14:00,Communication Skills,True
A101,Fri,7,14:00,14:50,Computer Networks,True
A101,Fri,8,14:50,15:40,FREE,False
A202,Mon,1,08:00,08:50,Data Structures,True
A202,Mon,2,08:50,09:40,Data Structures,True
A202,Mon,3,09:50,10:40,FREE,False
A202,Mon,4,10:40,11:30,FREE,False
A202,Mon,5,11:30,12:20,Probability & Stats,True
A202,Mon,6,13:10,14:00,Operating Systems,True
A202,Mon,7,14:00,14:50,Operating Systems,True
A202,Mon,8,14:50,15:40,Economics,True
A202,Tue,1,08:00,08:50,FREE,False
A202,Tue,2,08:50,09:40,FREE,False
A202,Tue,3,09:50,10:40,FREE,False
A202,Tue,4,10:40,11:30,Communication Skills,True
A202,Tue,5,11:30,12:20,Data Structures,True
A202,Tue,6,13:10,14:00,FREE,False
A202,Tue,7,14:00,14:50,FREE,False
A202,Tue,8,14:50,15:40,FREE,False
A202,Wed,1,08:00,08:50,FREE,False
A202,Wed,2,08:50,09:40,Economics,True
A202,Wed,3,09:50,10:40,FREE,False
A202,Wed,4,10:40,11:30,Operating Systems,True
A202,Wed,5,11:30,12:20,Economics,True
A202,Wed,6,13:10,14:00,Computer Networks,True
A202,Wed,7,14:00,14:50,Operating Systems,True
A202,Wed,8,14:50,15:40,FREE,False
A202,Thu,1,08:00,08:50,Software Engineering,True
A202,Thu,2,08:50,09:40,Communication Skills,True
A202,Thu,3,09:50,10:40,FREE,False
A202,Thu,4,10:40,11:30,Linear Algebra,True
A202,Thu,5,11:30,12:20,Data Structures,True
A202,Thu,6,13:10,14:00,FREE,False
A202,Thu,7,14:00,14:50,DBMS,True
A202,Thu,8,14:50,15:40,Computer Networks,True
A202,Fri,1,08:00,08:50,Machine Learning,True
A202,Fri,2,08:50,09:40,Linear Algebra,True
A202,Fri,3,09:50,10:40,FREE,False
A202,Fri,4,10:40,11:30,FREE,False
A202,Fri,5,11:30,12:20,FREE,False
A202,Fri,6,13:10,14:00,FREE,False
A202,Fri,7,14:00,14:50,FREE,False
A202,Fri,8,14:50,15:40,DBMS,True
A303,Mon,1,08:00,08:50,Operating Systems,True
A303,Mon,2,08:50,09:40,Machine Learning,True
A303,Mon,3,09:50,10:40,Probability & Stats,True
A303,Mon,4,10:40,11:30,FREE,False
A303,Mon,5,11:30,12:20,FREE,False
A303,Mon,6,13:10,14:00,FREE,False
A303,Mon,7,14:00,14:50,Probability & Stats,True
A303,Mon,8,14:50,15:40,FREE,False
A303,Tue,1,08:00,08:50,FREE,False
A303,Tue,2,08:50,09:40,Computer Networks,True
A303,Tue,3,09:50,10:40,Probability & Stats,True
A303,Tue,4,10:40,11:30,Machine Learning,True
A303,Tue,5,11:30,12:20,FREE,False
A303,Tue,6,13:10,14:00,Machine Learning,True
A303,Tue,7,14:00,14:50,FREE,False
A303,Tue,8,14:50,15:40,FREE,False
A303,Wed,1,08:00,08:50,FREE,False
A303,Wed,2,08:50,09:40,FREE,False
A303,Wed,3,09:50,10:40,FREE,False
A303,Wed,4,10:40,11:30,Communication Skills,True
A303,Wed,5,11:30,12:20,FREE,False
A303,Wed,6,13:10,14:00,Linear Algebra,True
A303,Wed,7,14:00,14:50,Data Structures,True
A303,Wed,8,14:50,15:40,Software Engineering,True
A303,Thu,1,08:00,08:50,FREE,False
A303,Thu,2,08:50,09:40,FREE,False
A303,Thu,3,09:50,10:40,Economics,True
A303,Thu,4,10:40,11:30,Probability & Stats,True
A303,Thu,5,11:30,12:20,FREE,False
A303,Thu,6,13:10,14:00,Computer Networks,True
A303,Thu,7,14:00,14:50,Probability & Stats,True
A303,Thu,8,14:50,15:40,FREE,False
A303,Fri,1,08:00,08:50,FREE,False
A303,Fri,2,08:50,09:40,Economics,True
A303,Fri,3,09:50,10:40,FREE,False
A303,Fri,4,10:40,11:30,FREE,False
A303,Fri,5,11:30,12:20,Linear Algebra,True
A303,Fri,6,13:10,14:00,FREE,False
A303,Fri,7,14:00,14:50,FREE,False
A303,Fri,8,14:50,15:40,FREE,False
A104,Mon,1,08:00,08:50,FREE,False
A104,Mon,2,08:50,09:40,Communication Skills,True
A104,Mon,3,09:50,10:40,Machine Learning,True
A104,Mon,4,10:40,11:30,FREE,False
A104,Mon,5,11:30,12:20,FREE,False
A104,Mon,6,13:10,14:00,Communication Skills,True
A104,Mon,7,14:00,14:50,FREE,False
A104,Mon,8,14:50,15:40,Operating Systems,True
A104,Tue,1,08:00,08:50,FREE,False
A104,Tue,2,08:50,09:40,Probability & Stats,True
A104,Tue,3,09:50,10:40,FREE,False
A104,Tue,4,10:40,11:30,FREE,False
A104,Tue,5,11:30,12:20,FREE,False
A104,Tue,6,13:10,14:00,Data Structures,True
A104,Tue,7,14:00,14:50,FREE,False
A104,Tue,8,14:50,15:40,Operating Systems,True
A104,Wed,1,08:00,08:50,FREE,False
A104,Wed,2,08:50,09:40,FREE,False
A104,Wed,3,09:50,10:40,Linear Algebra,True
A104,Wed,4,10:40,11:30,FREE,False
A104,Wed,5,11:30,12:20,FREE,False
A104,Wed,6,13:10,14:00,FREE,False
A104,Wed,7,14:00,14:50,FREE,False
A104,Wed,8,14:50,15:40,Probability & Stats,True
A104,Thu,1,08:00,08:50,Operating Systems,True
A104,Thu,2,08:50,09:40,FREE,False
A104,Thu,3,09:50,10:40,FREE,False
A104,Thu,4,10:40,11:30,FREE,False
A104,Thu,5,11:30,12:20,FREE,False
A104,Thu,6,13:10,14:00,FREE,False
A104,Thu,7,14:00,14:50,FREE,False
A104,Thu,8,14:50,15:40,FREE,False
A104,Fri,1,08:00,08:50,FREE,False
A104,Fri,2,08:50,09:40,FREE,False
A104,Fri,3,09:50,10:40,FREE,False
A104,Fri,4,10:40,11:30,Probability & Stats,True
A104,Fri,5,11:30,12:20,Computer Networks,True
A104,Fri,6,13:10,14:00,FREE,False
A104,Fri,7,14:00,14:50,FREE,False
A104,Fri,8,14:50,15:40,Linear Algebra,True
A205,Mon,1,08:00,08:50,Software Engineering,True
A205,Mon,2,08:50,09:40,Machine Learning,True
A205,Mon,3,09:50,10:40,DBMS,True
A205,Mon,4,10:40,11:30,Machine Learning,True
A205,Mon,5,11:30,12:20,FREE,False
A205,Mon,6,13:10,14:00,Machine Learning,True
A205,Mon,7,14:00,14:50,Operating Systems,True
A205,Mon,8,14:50,15:40,FREE,False
A205,Tue,1,08:00,08:50,Linear Algebra,True
A205,Tue,2,08:50,09:40,FREE,False
A205,Tue,3,09:50,10:40,Probability & Stats,True
A205,Tue,4,10:40,11:30,Communication Skills,True
A205,Tue,5,11:30,12:20,DBMS,True
A205,Tue,6,13:10,14:00,Economics,True
A205,Tue,7,14:00,14:50,Operating Systems,True
A205,Tue,8,14:50,15:40,DBMS,True
A205,Wed,1,08:00,08:50,FREE,False
A205,Wed,2,08:50,09:40,Software Engineering,True
A205,Wed,3,09:50,10:40,FREE,False
A205,Wed,4,10:40,11:30,Computer Networks,True
A205,Wed,5,11:30,12:20,FREE,False
A205,Wed,6,13:10,14:00,Linear Algebra,True
A205,Wed,7,14:00,14:50,Economics,True
